amount,sender_name,sender_ref
80,Johann Christoph Friedrich Bach,https://d-nb.info/gnd/118651471
80,"Berville, Saint-Albin",https://d-nb.info/gnd/123728851
78,"Ursinus, Leonhard",https://d-nb.info/gnd/104152451
77,"Göbel, Severin",https://d-nb.info/gnd/116698578
77,"Hauptmann, Gerhart",https://d-nb.info/gnd/118546937
77,Ludwig Tieck,https://d-nb.info/gnd/12989432X
77,Hzn. Elisabeth von Sachsen,https://d-nb.info/gnd/13669523X
77,"Perthes, Johann Moritz",https://d-nb.info/gnd/1125665076
77,Lazarus von Schwendi,https://d-nb.info/gnd/118760130
76,"Huber, Hans",https://d-nb.info/gnd/118707469
75,Christian III. von Dänemark,https://d-nb.info/gnd/119217120
75,Heinrich von Plauen,https://d-nb.info/gnd/104254041
75,"Schack, Franz Felix",https://d-nb.info/gnd/1102285773
74,"Schmidel, Casimir Christoph",https://d-nb.info/gnd/11745785X
74,"Gauß, Wilhelm",https://d-nb.info/gnd/1072539667
73,"Schulze, Johann Heinrich",https://d-nb.info/gnd/123165350
73,"Jullien de Paris, Marc-Antoine",https://d-nb.info/gnd/118558730
73,Johann Georg Cotta von Cottendorf,https://d-nb.info/gnd/11879972X
72,"Wagner, Peter Christian",https://d-nb.info/gnd/117103721
72,"Gmelin, Johann Conrad",https://d-nb.info/gnd/136490476
72,"Spazier, Johann Karl Gottlieb",https://d-nb.info/gnd/117481718
72,Jean-Baptiste Boussingault,https://d-nb.info/gnd/101165250
72,"Barbier, Louis-Nicolas",https://d-nb.info/gnd/116051930
72,"Camerarius, Joachim",https://d-nb.info/gnd/118518569
71,Lily Stumpf,https://d-nb.info/gnd/133496805
71,Johanne Karoline Wilhelmine Spazier,https://d-nb.info/gnd/10110555X
71,Friederike Liman,https://d-nb.info/gnd/123238048
70,Christoph Ludwig Friedrich Schultz,https://d-nb.info/gnd/117191787
70,Hans von der Planitz,https://d-nb.info/gnd/118594826
69,"Friedrich Wilhelm III., Preußen, König",https://d-nb.info/gnd/118535986
69,Rudolf Bultmann,https://d-nb.info/gnd/118517406
69,Hz. Johann Albrecht von Mecklenburg,https://d-nb.info/gnd/1089922159
69,Hinrich Lichtenstein,https://d-nb.info/gnd/100190014
69,Henriette von Aigentler,https://d-nb.info/gnd/119289598
68,Hz. Georg von Sachsen,https://d-nb.info/gnd/118716921
68,"Jungermann, Ludwig",https://d-nb.info/gnd/117238333
68,"Griesinger, Georg August von",https://d-nb.info/gnd/118891464
67,"Spielmann, Jacob Reinbold",https://d-nb.info/gnd/118751999
67,Helmina von Chézy,https://d-nb.info/gnd/119360659
67,"Monau, Peter",https://d-nb.info/gnd/117125679
67,"Kessel, Christoph Heinrich",https://d-nb.info/gnd/100745032
67,Ernst von Miltitz,https://d-nb.info/gnd/138386706
67,Karl August Varnhagen von Ense,https://d-nb.info/gnd/118626167
66,"Taylor, Edward",https://d-nb.info/gnd/117248711
66,"Donzellini, Girolamo",https://d-nb.info/gnd/129059870
66,"Ehrhart, Balthasar",https://d-nb.info/gnd/11640809X
66,"Thun, Leo von",https://d-nb.info/gnd/118757393
66,"Schwendler, Auguste Sophie Henriette",https://d-nb.info/gnd/117418269
65,Heinrich Geßner,https://d-nb.info/gnd/116600217
65,Peters,https://d-nb.info/gnd/5135549-8
64,Georg III. von Anhalt,https://d-nb.info/gnd/118716891
63,Fürst Johann Ludwig von Nassau-Hadamar,https://d-nb.info/gnd/102837422
63,"Brückmann, Franz Ernst",https://d-nb.info/gnd/118515853
63,"Boucharlat, Jean-Louis",https://d-nb.info/gnd/117622192
63,Hieronymus Westernauer >>Johann von Heideck<<,https://d-nb.info/gnd/1047786753
62,"Severino, Marco Aurelio",https://d-nb.info/gnd/11747486X
62,"Bode, Johann Elert",https://d-nb.info/gnd/116215372
61,"Ebner, Viktor",https://d-nb.info/gnd/116333995
61,"Reisel, Salomon",https://d-nb.info/gnd/119003384
61,"Hauptmann, Moritz",https://d-nb.info/gnd/118709143
60,Johann Friedrich d. M. von Sachsen,https://d-nb.info/gnd/100031900
60,"Besler, Michael Rupert",https://d-nb.info/gnd/116154233
60,"Girodet-Trioson, Anne-Louis, eigentl. Girodet de Roussy",https://d-nb.info/gnd/118817310
